method,method_label,category,comparison_role,seed,run_id,source_artifact,wikitext2_ppl,best_search_fitness,train_ppl,final_calibration_kl,stage1_runtime_minutes,stage2_runtime_minutes,total_pipeline_runtime_minutes,estimated_compression_ratio,estimated_weight_memory_mb,average_bitwidth_active,average_bitwidth_total,active_parameter_ratio,generations,offspring,initial_candidates_evaluated,active_budget_valid,depth_counts_valid,frozen_depth_unchanged,frozen_quant_unchanged,stage1_candidate_hash,fixed_quant_legal_swaps_initial,fixed_quant_legal_swaps_final,accepted_parent_replacements,selected_parent_depth,selected_parent_quantization,selected_parent_sequential_quantization,selected_parent_fixed_quant_depth,selected_parent_interaction_aware,selected_parent_parent,offspring_attempts,offspring_no_ops,offspring_duplicates,offspring_infeasible,generated_depth,generated_quantization,generated_sequential_quantization,generated_fixed_quant_depth,generated_interaction_aware
depth_uniform,Depth + uniform 3-bit q_proj,baseline,target-matched composition baseline,0,thesis_medium_depth_uniform_quant_mistral_s0.25_qproj3.0_seed0,results/runs/thesis_medium_depth_uniform_quant_mistral_s0.25_qproj3.0_seed0/evaluation_metrics.csv,11.99,,,,9.533333333333333,1.4166666666666667,10.95,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,,,,,,,,,,,,,,,,,,,,,,,,,,
depth_uniform,Depth + uniform 3-bit q_proj,baseline,target-matched composition baseline,1,thesis_medium_depth_uniform_quant_mistral_s0.25_qproj3.0_seed1,results/runs/thesis_medium_depth_uniform_quant_mistral_s0.25_qproj3.0_seed1/evaluation_metrics.csv,12.52,,,,9.583333333333334,1.4,10.983333333333333,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,,,,,,,,,,,,,,,,,,,,,,,,,,
depth_uniform,Depth + uniform 3-bit q_proj,baseline,target-matched composition baseline,2,thesis_medium_depth_uniform_quant_mistral_s0.25_qproj3.0_seed2,results/runs/thesis_medium_depth_uniform_quant_mistral_s0.25_qproj3.0_seed2/evaluation_metrics.csv,11.35,,,,9.616666666666667,1.4,11.016666666666667,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,,,,,,,,,,,,,,,,,,,,,,,,,,
independent,Independent depth + searched q_proj quant,baseline,target-matched sequential composition baseline,0,thesis_medium_independent_depth_quant_mistral_s0.25_qproj3.0_seed0,results/runs/thesis_medium_independent_depth_quant_mistral_s0.25_qproj3.0_seed0/evaluation_metrics.csv,11.97,,,,22.666666666666668,1.55,24.216666666666665,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,,,,,,,,,,,,,,,,,,,,,,,,,,
independent,Independent depth + searched q_proj quant,baseline,target-matched sequential composition baseline,1,thesis_medium_independent_depth_quant_mistral_s0.25_qproj3.0_seed1,results/runs/thesis_medium_independent_depth_quant_mistral_s0.25_qproj3.0_seed1/evaluation_metrics.csv,12.52,,,,22.716666666666665,1.4,24.116666666666667,1.400587292478778,9870.5078125,2.9583333333333335,11.423779214562906,0.7592681023341133,,,,,,,,,,,,,,,,,,,,,,,,,,
independent,Independent depth + searched q_proj quant,baseline,target-matched sequential composition baseline,2,thesis_medium_independent_depth_quant_mistral_s0.25_qproj3.0_seed2,results/runs/thesis_medium_independent_depth_quant_mistral_s0.25_qproj3.0_seed2/evaluation_metrics.csv,11.35,,,,22.8,1.4,24.2,1.400587292478778,9870.5078125,2.9583333333333335,11.423779214562906,0.7592681023341133,,,,,,,,,,,,,,,,,,,,,,,,,,
joint_g20,Standard joint G20,baseline,same stage-two generation/offspring schedule,0,thesis_medium_joint_mistral_s0.25_qproj3.0_g20_o16_seed0,results/runs/thesis_medium_joint_mistral_s0.25_qproj3.0_g20_o16_seed0/run_summary.json,13.3828125,0.7939453125,13.5078125,0.7939453125,0.0,10.15,10.15,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,20,16,32,,,,,,,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joint_g20,Standard joint G20,baseline,same stage-two generation/offspring schedule,1,thesis_medium_joint_mistral_s0.25_qproj3.0_g20_o16_seed1,results/runs/thesis_medium_joint_mistral_s0.25_qproj3.0_g20_o16_seed1/run_summary.json,12.28125,0.69921875,11.921875,0.69921875,0.0,10.183333333333334,10.183333333333334,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,20,16,32,,,,,,,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joint_g20,Standard joint G20,baseline,same stage-two generation/offspring schedule,2,thesis_medium_joint_mistral_s0.25_qproj3.0_g20_o16_seed2,results/runs/thesis_medium_joint_mistral_s0.25_qproj3.0_g20_o16_seed2/run_summary.json,12.15625,0.71240234375,11.1171875,0.712890625,0.0,10.116666666666667,10.116666666666667,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,20,16,32,,,,,,,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq_depth_to_quant_frozen,"Depth → Quantization, frozen",sequential,new sequential variant,0,thesis_sequential_depth_to_quant_frozen_mistral_s0.25_qproj3.0_g20_o16_seed0,results/runs/thesis_sequential_depth_to_quant_frozen_mistral_s0.25_qproj3.0_g20_o16_seed0/run_summary.json,11.921875,0.697265625,12.3046875,0.69775390625,9.533333333333333,9.033333333333333,18.566666666666666,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,20,16,1,True,True,True,False,454b86987800d97eba43ad3d810527ff7143b7cabdea85e154ab2d26a1831402,,,10,0,0,10,0,0,10,322,0,2,0,0,0,320,0,0
